Class,Region ID,Centroid X,Centroid Y,Orientation,Percent Filled,Aspect Ratio
specs,1,156.179,272.987,-0.485533,100,0.220588
specs,2,483.776,306.997,0.350389,100,0.666667
specs,3,248.761,313.766,-0.24767,100,0.581888
specs,4,153.649,251.675,-0.0424827,100,0.0740741
specs,5,538.422,259.766,0.38714,100,4.35127
specs,6,0,0,0,0,0
specs,7,242.608,229.638,-0.0231937,100,0.0883804
specs,8,497.205,221.586,-0.057843,100,0.0864865
specs,9,320.804,221.633,0.0836428,100,0.749609
specs,1,155.762,170.905,-0.441236,100,0.166667
specs,2,572.848,222.766,0.58818,100,0.866667
specs,3,332.865,373.191,-0.0496019,100,2.00313
specs,4,276.334,224.964,-0.182186,100,0.552031
specs,5,628.333,160.071,0.326122,100,3.05844
specs,6,172.964,143.519,-0.0122536,100,7.47087
specs,7,124.358,116.86,0.374041,100,0.769231
specs,8,580.149,111.225,-0.0766277,100,0.200389
specs,9,277.208,111.544,0.017155,100,0.136
specs,10,263.881,70.2063,-0.140576,100,2.6405
specs,1,155,171.3,-0.479004,100,0.2
specs,2,572.58,222.604,0.584535,100,1.15254
specs,3,332.947,373.319,-0.050054,100,0.499218
specs,4,275.244,225.396,-0.186047,100,0.551763
specs,5,628.373,159.856,0.329702,100,3.13648
specs,6,0,0,0,0,0
specs,7,172.12,144.176,-0.0135059,100,7.57413
specs,8,124.87,116.997,0.87593,100,1.64815
specs,9,579.512,110.89,-0.0779534,100,0.197058
specs,10,275.321,111.995,0.0137944,100,0.14
specs,11,263.879,70.0701,-0.140626,100,2.6405
specs,1,0,0,0,0,0
specs,2,155.762,162.905,-0.441236,100,0.166667
specs,3,580.018,215.837,0.762677,100,0.975806
specs,4,332.96,370.114,-0.0543371,100,0.511737
specs,5,279.76,218.635,-0.180171,100,0.551069
specs,6,633.298,149.705,0.321446,100,2.61728
specs,7,174.028,135.049,-0.0118212,100,7.74862
specs,8,125.757,106.923,1.13695,100,2.08333
specs,9,585.686,101.807,-0.0903246,100,0.232862
specs,10,281.047,101.374,0.0168413,100,0.142308
specs,11,257.824,66.8067,-0.14511,100,0.364632
specs,1,0,0,0,0,0
specs,2,155.75,165.5,-0.442795,100,0.166667
specs,3,577.831,217.156,0.702463,100,0.9375
specs,4,333.356,370.975,-0.0545399,100,0.508607
specs,5,278.044,220.773,-0.187917,100,0.554162
specs,6,631.337,151.576,0.314594,100,2.82857
specs,7,172.757,138.21,-0.0148845,100,7.07584
specs,8,125.825,110.35,1.17462,100,3
specs,9,583.637,103.591,-0.0899293,100,0.224747
specs,10,278.705,104.589,0.0133078,100,0.140078
specs,11,258.841,67.7323,-0.14537,100,0.369327
specs,1,0,0,0,0,0
specs,2,154.048,167.619,-0.536039,100,0.166667
specs,3,576.149,218.554,0.665237,100,0.916031
specs,4,333.307,371.643,-0.053682,100,0.507042
specs,5,276.261,222.363,-0.187498,100,0.553154
specs,6,630.466,153.369,0.322913,100,3.04895
specs,7,171.285,140.15,-0.0164939,100,7.68142
specs,8,125.184,111.553,1.1766,100,2.88
specs,9,582.138,105.172,-0.0885497,100,0.214884
specs,10,276.57,106.725,0.0119071,100,0.140625
specs,11,260.187,68.2337,-0.144381,100,0.372457
specs,1,145,180.5,-0.553574,100,0.153846
specs,2,564.314,230.428,0.476707,100,0.790541
specs,3,332.154,377.079,-0.0446279,100,0.486698
specs,4,264.483,234.296,-0.193355,100,0.5536
specs,5,624.383,169.689,0.337242,100,3.19152
specs,6,0,0,0,0,0
specs,7,161.587,153.55,-0.0152475,100,7.38956
specs,8,118.452,124.421,1.06301,100,0.65
specs,9,572.499,118.711,-0.0695659,100,0.176119
specs,10,263.619,121.49,0.0107279,100,0.137097
specs,11,270.368,71.7875,-0.133231,100,0.392801
specs,1,0,0,0,0,0
specs,2,0,0,0,0,0.125
specs,3,532.151,260.652,0.386294,100,1.51763
specs,4,338.052,391.374,-0.0449529,100,0.43036
specs,5,258.113,265.412,-0.213908,100,0.562373
specs,6,591.663,206.888,0.392887,100,4.4986
specs,7,161.939,191.983,-0.0143927,100,9.14286
specs,8,629.64,185.667,0.7798,100,1.75
specs,9,254.173,165.111,6.68255e-06,100,0.117355
specs,10,545.146,159.997,-0.0486899,100,0.120502
specs,11,284.212,91.1385,-0.121409,100,0.444444
specs,1,0,0,0,0,0
specs,2,0,0,0,0,0
specs,3,0,0,0,0,0
specs,4,168.429,228.929,-0.501624,100,0.2
specs,5,537.086,270.554,0.387362,100,1.52509
specs,6,344.434,396.318,-0.0511638,100,0.413146
specs,7,273.217,274.831,-0.214019,100,0.565212
specs,8,593.787,218.342,0.386764,100,4.46808
specs,9,178.445,204.51,-0.0217302,100,10.1667
specs,10,630.816,197.487,0.727544,100,1.84884
specs,11,0,0,0,0,0
specs,12,270.262,179.287,-0.00279703,100,0.103448
